64;Victor Campenaerts;Lotto Dstny;85H 40' 40'';+ 03H 34' 58''
65;Matis Louvel;Team Arkea - Samsic;85H 41' 51'';+ 03H 36' 09''
66;Neilson Powless;Ef Education - Easypost;85H 43' 12'';+ 03H 37' 30''
67;Rui Costa;Intermarché - Circus - Wanty;85H 43' 39'';+ 03H 37' 57''
68;Anthony Delaplace;Team Arkea - Samsic;85H 47' 19'';+ 03H 41' 37''
69;Simon Guglielmi;Team Arkea - Samsic;85H 47' 30'';+ 03H 41' 48''
70;Lars Van Den Berg;Groupama - Fdj;85H 51' 45'';+ 03H 46' 03''
71;Rigoberto Uran;Ef Education - Easypost;85H 55' 57'';+ 03H 50' 15''
72;Matej Mohoric;Bahrain Victorious;85H 56' 47'';+ 03H 51' 05''
73;Nans Peters;Ag2R Citroen Team;85H 58' 48'';+ 03H 53' 06''
74;Juan Pedro Lopez Perez;Lidl - Trek;86H 00' 21'';+ 03H 54' 39''
75;Pierre Latour;Totalenergies;86H 01' 07'';+ 03H 55' 25''
76;Oliver Naesen;Ag2R Citroen Team;86H 02' 27'';+ 03H 56' 45''
77;Lilian Calmejane;Intermarché - Circus - Wanty;86H 07' 25'';+ 04H 01' 43''
78;Marco Haller;Bora - Hansgrohe;86H 08' 19'';+ 04H 02' 37''
79;Jasper Stuyven;Lidl - Trek;86H 09' 06'';+ 04H 03' 24''
80;Christophe Laporte;Jumbo-Visma;86H 11' 29'';+ 04H 05' 47''
81;Stan Dewulf;Ag2R Citroen Team;86H 13' 24'';+ 04H 07' 42''
82;Patrick Konrad;Bora - Hansgrohe;86H 13' 25'';+ 04H 07' 43''
83;Alberto Bettiol;Ef Education - Easypost;86H 14' 40'';+ 04H 08' 58''
84;G Lawson Craddock;Team Jayco Alula;86H 18' 13'';+ 04H 12' 31''
85;Jonas Abrahamsen;Uno-X Pro Cycling Team;86H 19' 14'';+ 04H 13' 32''
86;Tony Gallopin;Lidl - Trek;86H 20' 31'';+ 04H 14' 49''
87;Kasper Asgreen;Soudal Quick-Step;86H 20' 51'';+ 04H 15' 09''
88;Daniel Oss;Totalenergies;86H 22' 01'';+ 04H 16' 19''
89;Valentin Ferron;Totalenergies;86H 24' 57'';+ 04H 19' 15''
90;Corbin Strong;Israel - Premier Tech;86H 27' 03'';+ 04H 21' 21''
